"model","forecast_date","location","horizon","temporal_resolution","target_variable","target_end_date","type","quantile","value"
"SARIMA",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.01,0
"SARIMA",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.025,0
"SARIMA",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.05,1.87890772555903
"SARIMA",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.1,6.67627355305078
"SARIMA",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.15,9.91303350131411
"SARIMA",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.2,12.4855077008154
"SARIMA",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.25,14.6924615065414
"SARIMA",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.3,16.6743742328583
"SARIMA",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.35,18.5109117378316
"SARIMA",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.4,20.2536062346572
"SARIMA",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.45,21.939683328375
"SARIMA",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.5,23.5990283067785
"SARIMA",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.55,25.2583732851819
"SARIMA",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.6,26.9444503788998
"SARIMA",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.65,28.6871448757253
"SARIMA",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.7,30.5236823806987
"SARIMA",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.75,32.5055951070155
"SARIMA",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.8,34.7125489127416
"SARIMA",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.85,37.2850231122429
"SARIMA",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.9,40.5217830605062
"SARIMA",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.95,45.3191488879979
"SARIMA",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.975,49.480148293094
"SARIMA",2023-03-01,"Balaka",1,"month","incidence",2023-04-01,"quantile",0.99,54.3182093391229
"SARIMA",2023-03-01,"Balaka",2,"month","incidence",2023-05-01,"quantile",0.01,3.64159251502746
"SARIMA",2023-03-01,"Balaka",2,"month","incidence",2023-05-01,"quantile",0.025,9.34031430154114
"SARIMA",2023-03-01,"Balaka",2,"month","incidence",2023-05-01,"quantile",0.05,14.2415294242719
"SARIMA",2023-03-01,"Balaka",2,"month","incidence",2023-05-01,"quantile",0.1,19.8923165679032
"SARIMA",2023-03-01,"Balaka",2,"month","incidence",2023-05-01,"quantile",0.15,23.704875826539
"SARIMA",2023-03-01,"Balaka",2,"month","incidence",2023-05-01,"quantile",0.2,26.7349770647148
"SARIMA",2023-03-01,"Balaka",2,"month","incidence",2023-05-01,"quantile",0.25,29.3345341217395
"SARIMA",2023-03-01,"Balaka",2,"month","incidence",2023-05-01,"quantile",0.3,31.669016701636
